ID	Ontology Name	Authors	Institution	Country	Published	Links to papers	Full-text	Notes	Use cases	Used in		Analysis notes	Listed in LOV repo	Link to the actual ontology source/doc	Other Link	BibTex
9	CCSS (Generated from Common Core English Language Arts)	"Sabbir M. Rashid
Deborah L. McGuinness
"	Rensselaer Polytechnic Institute, Troy, NY	USA	2018-2019	http://ceur-ws.org/Vol-2182/paper_7.pdf	Full-text available	"https://archive.org/services/purl/purl/ontology/edu/

https://github.com/tetherless-world/education-standards-ontology/blob/master/ont/eso.ttl"	"• a method to generate an ontology from web content of Common Core Website (from its HTML structure, which is not semantically annotated)
• help students align their knowledge with standards in the Common Core, which is a standard that describes how to learn.
• support for education: different types of learning: personalized learning (learning pace, preferences, ...), e-learning resources, virtual classrooms"			One interesting mention about derivation of SPARQL from Natural language sentences. Ontology-enabled envs can help improve query formation and result integration	No	"
https://github.com/tetherless-world/education-standards-ontology/blob/master/ont/eso.ttl"		"@inproceedings{DBLP:conf/semweb/RashidM18,
  author    = {Sabbir M. Rashid and
               Deborah L. McGuinness},
  editor    = {K. Krasnow Waterman},
  title     = {Creating and Using an Education Standards Ontology to Improve Education},
  booktitle = {Proceedings of the Workshop on Semantic Web for Social Good co-located
               with 17th International Semantic Web Conference, SW4SG@ISWC 2018,
               Monterey, California, USA, October 9, 2018., Monterey, California,
               USA, October 9, 2018},
  series    = {{CEUR} Workshop Proceedings},
  volume    = {2182},
  publisher = {CEUR-WS.org},
  year      = {2018},
  url       = {http://ceur-ws.org/Vol-2182/paper\_5.pdf},
  timestamp = {Wed, 12 Feb 2020 16:44:50 +0100},
  biburl    = {https://dblp.org/rec/conf/semweb/RashidM18.bib},
  bibsource = {dblp computer science bibliography, https://dblp.org}
}"
10	Academic Evaluation Ontology	"Siti Aminah 
Iis Afriyanti 
Adila Krisnadhi"	Universitas Padjajaran	Indonesia	2017-2018	"https://ieeexplore.ieee.org/document/7930126

https://www.computer.org/csdl/proceedings-article/icde/2017/6543b569/12OmNAq3hQV

https://www.computer.org/csdl/pds/api/csdl/proceedings/download-article/6543b569/pdf?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJpc3MiOiJjc2RsX2FwaSIsImF1ZCI6ImNzZGxfYXBpX2Rvd25sb2FkX3Rva2VuIiwic3ViIjoiYW5vbnltb3VzQGNvbXB1dGVyLm9yZyIsImVtYWlsIjoiYW5vbnltb3VzQGNvbXB1dGVyLm9yZyIsImV4cCI6MTU4MjIyMjUyOH0.ASrn60t0zds0_Yo5_avfCvq6sUXtlWrpeAEHKF8AKaE"	Full-text available	full text not available	-				No	"closed access paper, source code N/A, 
DOI: 10.1109/ICDE.2017.229"		"@inproceedings{DBLP:conf/icde/AminahAK17,
  author    = {Siti Aminah and
               Iis Afriyanti and
               Adila Krisnadhi},
  title     = {Ontology-Based Approach for Academic Evaluation System},
  booktitle = {33rd {IEEE} International Conference on Data Engineering, {ICDE} 2017,
               San Diego, CA, USA, April 19-22, 2017},
  pages     = {1569--1574},
  publisher = {{IEEE} Computer Society},
  year      = {2017},
  url       = {https://doi.org/10.1109/ICDE.2017.229},
  doi       = {10.1109/ICDE.2017.229},
  timestamp = {Wed, 16 Oct 2019 14:14:56 +0200},
  biburl    = {https://dblp.org/rec/conf/icde/AminahAK17.bib},
  bibsource = {dblp computer science bibliography, https://dblp.org}
}"
11	FRAPO (Funding, Research Administration and Projects Ontology)	David Shotton	University of Oxford: Oxford, Oxfordshire	UK	2017-2018	"http://www.sparontologies.net/ontologies/frapo

https://sparontologies.github.io/frapo/current/frapo.html"	Full-text available		"• used to describe research project
administrative information
• describe grant applications, funding bodies, budget management, projects, project partners
• also suitable to desribe other types of projects
• uses foaf"				https://lov.linkeddata.es/dataset/lov/vocabs/frapo	"http://purl.org/cerif/frapo/
"		"@inproceedings{DBLP:conf/semweb/PeroniS18,
  author    = {Silvio Peroni and
               David M. Shotton},
  editor    = {Denny Vrandecic and
               Kalina Bontcheva and
               Mari Carmen Su{\'{a}}rez{-}Figueroa and
               Valentina Presutti and
               Irene Celino and
               Marta Sabou and
               Lucie{-}Aim{\'{e}}e Kaffee and
               Elena Simperl},
  title     = {The {SPAR} Ontologies},
  booktitle = {The Semantic Web - {ISWC} 2018 - 17th International Semantic Web Conference,
               Monterey, CA, USA, October 8-12, 2018, Proceedings, Part {II}},
  series    = {Lecture Notes in Computer Science},
  volume    = {11137},
  pages     = {119--136},
  publisher = {Springer},
  year      = {2018},
  url       = {https://doi.org/10.1007/978-3-030-00668-6\_8},
  doi       = {10.1007/978-3-030-00668-6\_8},
  timestamp = {Wed, 25 Sep 2019 18:15:07 +0200},
  biburl    = {https://dblp.org/rec/conf/semweb/PeroniS18.bib},
  bibsource = {dblp computer science bibliography, https://dblp.org}
}"
12	UniGrad (FOAF+SIOC extension)	Moharram Challenger 
	Islamic Azad University	Iran	2011-2012	https://pdfs.semanticscholar.org/85d6/cbab2b83c1253e7632d8c4e9e4a11f288304.pdf	Full-text available		"• can model a person’s education,
work experience, research interests, and publications
• can capture change of e.g. jobs in time (meaning it can hold series of jobs in a sequence) by introducing an ""experience"" concept and start/end date props
• imports DBLP ontology
• to create an Academic Social Network that allow the integration of multiple data sources and inference of implicit knowledge (co-authors, reseach interests)"			A very good example of workflow for iRAO	"No, but part of it 
https://lov.linkeddata.es/dataset/lov/vocabs/sioc"	"source code N/A, 
https://www.researchgate.net/publication/266502970_The_Ontology_and_Architecture_for_an_Academic_Social_Network"		-
13	Ontology for the personal learning environments in the development of thesis projects	"Mariela Tapia-Leon
Teresa Mirian Santamaria Lòpez
Janneth Chicaiza
Sergio Luján-Mora"	Universidad de Guayaquil (UG)	Ecuador	2017-2018	https://www.researchgate.net/publication/319449170_Ontology_for_the_personal_learning_environments_in_the_development_of_thesis_projects	Full-text available		"• ""solution"" to infoxication
• organize the process of thesis development via PLE (Personal Learning Enviroments)
• create inference rules-based recommendations of technological, informational and human resources for thesis development
• infer recommendations (field expert can help student working on a topic)
• infer recommendations of tools for each phases"				No	"source code N/A, 
DOI: 10.1145/3175536.3175555
"		"@inproceedings{DBLP:conf/icetc/Tapia-LeonSCL17,
  author    = {Mariela Tapia{-}Le{\'{o}}n and
               Teresa Santamar{\'{\i}}a and
               Janneth Chicaiza and
               Sergio Luj{\'{a}}n{-}Mora},
  title     = {Ontology of personal learning environments in the development of thesis
               project},
  booktitle = {Proceedings of the 9th International Conference on Education Technology
               and Computers, {ICETC} 2017, Barcelona, Spain, December 20-22, 2017},
  pages     = {183--187},
  publisher = {{ACM}},
  year      = {2017},
  url       = {https://doi.org/10.1145/3175536.3175555},
  doi       = {10.1145/3175536.3175555},
  timestamp = {Tue, 06 Nov 2018 16:58:26 +0100},
  biburl    = {https://dblp.org/rec/conf/icetc/Tapia-LeonSCL17.bib},
  bibsource = {dblp computer science bibliography, https://dblp.org}
}"
14	"ORKG, used for Comparing Research Contributions in a Scholarly Knowledge
Graph
"	"Allard Oelen, 
Mohaman Yaser Jaradeh,
Kheir Eddine Farfar,
Markus Stocker,
Soren Auer"	"University of Hannover
TIB"	Germany	2019	http://ceur-ws.org/Vol-2526/paper3.pdf	Full-text available	https://gitlab.com/TIBHannover/orkg/orkg-ontology/-/blob/master/orkg-core.ttl	"• finding similar contributions
• mapping properties
• visualization of comparison of contributions
• automatically compare related literature for literature review
• the idea is to compare resources that share the same or similar set of properties (predicates)
• also take into account that propertieswith different labels can be equivalent, use word embedding to determine the similarity of properties and group them together"			"• interesting referenced resource: Alina Petrova, Evgeny Sherkhonov, Bernardo Cuenca Grau, and Ian Horrocks.
2017. Entity comparison in RDF graphs LNCS

https://iswc2017.semanticweb.org/wp-content/uploads/papers/MainProceedings/237.pdf"	No, too new	https://gitlab.com/TIBHannover/orkg/orkg-ontology/-/blob/master/orkg-core.ttl		"@inproceedings{DBLP:conf/kcap/OelenJFSA19,
  author    = {Allard Oelen and
               Mohamad Yaser Jaradeh and
               Kheir Eddine Farfar and
               Markus Stocker and
               S{\""{o}}ren Auer},
  editor    = {Daniel Garijo and
               Milan Markovic and
               Paul Groth and
               Idafen Santana{-}P{\'{e}}rez and
               Khalid Belhajjame},
  title     = {Comparing Research Contributions in a Scholarly Knowledge Graph},
  booktitle = {Proceedings of the Third International Workshop on Capturing Scientific
               Knowledge co-located with the 10th International Conference on Knowledge
               Capture {(K-CAP} 2019), Marina del Rey, California , November 19th,
               2019},
  series    = {{CEUR} Workshop Proceedings},
  volume    = {2526},
  pages     = {21--26},
  publisher = {CEUR-WS.org},
  year      = {2019},
  url       = {http://ceur-ws.org/Vol-2526/paper3.pdf},
  timestamp = {Wed, 12 Feb 2020 16:44:30 +0100},
  biburl    = {https://dblp.org/rec/conf/kcap/OelenJFSA19.bib},
  bibsource = {dblp computer science bibliography, https://dblp.org}
}"
15	ScholOnto: An ontology-based digital library server for research documents and discourse	"Simon Buckingham Shum,
Enrico Motta,
John Domingue"	University of Technology Sydney	Australia, UK	2000-2001	https://www.researchgate.net/publication/227274191_ScholOnto_An_ontology-based_digital_library_server_for_research_documents_and_discourse	Full-text available		"• digital library services
• citations
• expressing a document's semantics, like who is the author, what he did (different types of activities in his project)
• scholarly contribution activities include: 
- - addresses a problem
- - analyses a data, idea
- - uses-applies analysis, approach, ... see picture to the right"				No, too old	"Not an ontology
DOI: 10.1007/s007990000034
modeled in OCML
No source code
https://www.researchgate.net/publication/227274191_ScholOnto_An_ontology-based_digital_library_server_for_research_documents_and_discourse"		"@article{DBLP:journals/jodl/ShumMD00,
  author    = {Simon Buckingham Shum and
               Enrico Motta and
               John Domingue},
  title     = {ScholOnto: an ontology-based digital library server for research documents
               and discourse},
  journal   = {Int. J. on Digital Libraries},
  volume    = {3},
  number    = {3},
  pages     = {237--248},
  year      = {2000},
  url       = {https://doi.org/10.1007/s007990000034},
  doi       = {10.1007/s007990000034},
  timestamp = {Sat, 19 Oct 2019 19:55:55 +0200},
  biburl    = {https://dblp.org/rec/journals/jodl/ShumMD00.bib},
  bibsource = {dblp computer science bibliography, https://dblp.org}
}"
16	"An Ontology of Scientific Experiments
(EXPO)"	"Larisa Soldatova,
Ross Donald King"	University of London	UK	2006-2007	https://www.researchgate.net/publication/6780382_An_Ontology_of_Scientific_Experiments	Full-text available		"• formalizes generic knowledge about experimental design, methodology and results representation, since all the sciences follow the same experimental principles
• can be used to describe a variety of scientific experiments, physics, computational,
• includes enumerations of types of experiments, their hypotheses, data, factors,  observations, results, conclusion, ..."				No, too irrelevant			"@article{article,
author = {Soldatova, Larisa and King, Ross},
year = {2007},
month = {01},
pages = {795-803},
title = {An Ontology of Scientific Experiments},
volume = {3},
journal = {Journal of the Royal Society, Interface / the Royal Society},
doi = {10.1098/rsif.2006.0134}
}"
17	KISTI Reference & Academic Ontology	"Hanmin Jung, 
Seungwoo Lee, 
Pyung Kim, 
Mi-Kyoung Lee, 
Beom-Jong You, and 
Won-Kyung Sung"	KISTI	Korea	2008-2010	"https://link.springer.com/chapter/10.1007/978-3-642-13489-0_32
https://www.w3.org/2001/sw/sweo/public/UseCases/OntoFrame/#tech
"	Full-text available		"• research entities (people and institutions)
• accomplishments (products like articles)
• locations, geo-data, topics,
• connection of researchers to affiliations through accomplishment"	OntoFrame, no longer available			no	"No source code, probably too old
https://www.w3.org/2001/sw/sweo/public/UseCases/OntoFrame/#tech"		"@inproceedings{DBLP:conf/esws/LeeLKJS10,
  author    = {Seungwoo Lee and
               Mikyoung Lee and
               Pyung Kim and
               Hanmin Jung and
               Won{-}Kyung Sung},
  editor    = {Lora Aroyo and
               Grigoris Antoniou and
               Eero Hyv{\""{o}}nen and
               Annette ten Teije and
               Heiner Stuckenschmidt and
               Liliana Cabral and
               Tania Tudorache},
  title     = {OntoFrame {S3:} Semantic Web-Based Academic Research Information Portal
               Service Empowered by {STAR-WIN}},
  booktitle = {The Semantic Web: Research and Applications, 7th Extended Semantic
               Web Conference, {ESWC} 2010, Heraklion, Crete, Greece, May 30 - June
               3, 2010, Proceedings, Part {II}},
  series    = {Lecture Notes in Computer Science},
  volume    = {6089},
  pages     = {401--405},
  publisher = {Springer},
  year      = {2010},
  url       = {https://doi.org/10.1007/978-3-642-13489-0\_32},
  doi       = {10.1007/978-3-642-13489-0\_32},
  timestamp = {Tue, 14 May 2019 10:00:44 +0200},
  biburl    = {https://dblp.org/rec/conf/esws/LeeLKJS10.bib},
  bibsource = {dblp computer science bibliography, https://dblp.org}
}"
18	Ontology for describing academic mental states	"Keiichi Muramatsu, 
Eiichirou Tanaka, 
Keiichi Watanuki & 
Tatsunori Matsui "	Saitama University	Japan	2016-2017	"https://telrp.springeropen.com/articles/10.1186/s41039-016-0029-1

https://www.researchgate.net/publication/315319764_Ontological_descriptions_of_receiver_states_for_sharing_knowledge_in_learning_service_design"	Full-text available	based on top-level Yet Another More Advanced Top-level Ontology (YAMATO)	"• To identify learner’s mental states, the ontology operates on the basis of the theoretical and data-driven knowledge of emotions.
• formalizes the academic boredom scale (ABS) and classifies several feelings
• “want something else,” “tired of activity,” “impatient,” “frustrated/annoyed,” “apathetic,” “nothing to do,” “activity dull,” “repetitive,” “wonder why doing this,” and “useless/unimportant.”"	 		paper doesn't describe the ontology in detail	no	"Developed in hozo.jp, no source code
https://www.researchgate.net/publication/315319764_Ontological_descriptions_of_receiver_states_for_sharing_knowledge_in_learning_service_design"		"@article{article,
author = {MURAMATSU, Keiichi and Kimita, Koji and Ishii, Takatoshi and Nemoto, Yutaro and TANAKA, Eiichirou and WATANUKI, Keiichi and MATSUI, Tatsunori and Shimomura, Yoshiki},
year = {2017},
month = {03},
pages = {JAMDSM0008-JAMDSM0008},
title = {Ontological descriptions of receiver states for sharing knowledge in learning service design},
volume = {11},
journal = {Journal of Advanced Mechanical Design, Systems, and Manufacturing},
doi = {10.1299/jamdsm.2017jamdsm0008}
}"
19	Ontology for Academic Context Reasoning
	"Bravo, M., 
Reyes-Ortiz, J.A., 
Cruz-Ruiz, I., 
Gutiérrez-Rosales, A., 
Padilla-Cuevas, J."	Metropolitan Autonomous University	Mexico	2020	https://www.researchgate.net/publication/328754830_Ontology_for_Academic_Context_Reasoning	Full-text available		"• addresses the user ""context"" 
• representation and management of contexts and events in the university environment addressing particularly
academic issues
• persons, physical space, sensor networks, events, etc. among other entities that exist in the academic environment
• concept for context: User, Device, application, Physical Environment, Resource, Network, Location, and Activity"				no	"N/A No mentioning of any source code in the papers
DOI: 10.1016/j.procs.2018.10.165"		"@inproceedings{DBLP:conf/euspn/BravoRCGP18,
  author    = {Maricela Bravo and
               Jos{\'{e}} Alejandro Reyes{-}Ortiz and
               Isabel Cruz{-}Ruiz and
               Ariadna Guti{\'{e}}rrez{-}Rosales and
               Josu{\'{e}} Padilla{-}Cuevas},
  editor    = {Elhadi M. Shakshuki and
               Ansar{-}Ul{-}Haque Yasar},
  title     = {Ontology for Academic Context Reasoning},
  booktitle = {The 9th International Conference on Emerging Ubiquitous Systems and
               Pervasive Networks {(EUSPN} 2018) / The 8th International Conference
               on Current and Future Trends of Information and Communication Technologies
               in Healthcare {(ICTH-2018)} / Affiliated Workshops, November 5-8,
               2018, Leuven, Belgium},
  series    = {Procedia Computer Science},
  volume    = {141},
  pages     = {175--182},
  publisher = {Elsevier},
  year      = {2018},
  url       = {https://doi.org/10.1016/j.procs.2018.10.165},
  doi       = {10.1016/j.procs.2018.10.165},
  timestamp = {Wed, 22 Jan 2020 09:22:30 +0100},
  biburl    = {https://dblp.org/rec/conf/euspn/BravoRCGP18.bib},
  bibsource = {dblp computer science bibliography, https://dblp.org}
}"
